from_behavior,to_behavior,count
question_open,input,4
input,input,73
input,client,279
client,input,311
input,question_open,36
question_open,client,733
client,question_open,497
client,client,939
client,reflect_simple,570
reflect_simple,client,474
reflect_simple,question_open,70
client,reflect_complex,529
reflect_complex,question_open,49
question_open,other,6
question_closed,reflect_simple,10
client,question_closed,354
question_closed,client,421
reflect_complex,client,451
reflect_simple,question_closed,47
reflect_simple,reflect_simple,114
question_closed,reflect_complex,10
client,other,364
other,other,34
other,client,311
other,question_open,39
other,input,16
other,reflect_simple,21
reflect_simple,other,26
question_closed,question_open,23
question_closed,question_closed,38
other,question_closed,21
reflect_simple,reflect_complex,35
question_open,question_open,23
reflect_complex,reflect_complex,86
other,reflect_complex,17
question_closed,input,16
reflect_complex,question_closed,32
input,other,19
input,question_closed,20
reflect_complex,other,10
reflect_simple,input,11
input,reflect_complex,10
question_open,question_closed,5
question_closed,other,14
reflect_complex,reflect_simple,40
question_open,reflect_simple,3
reflect_complex,input,15
input,reflect_simple,12
question_open,reflect_complex,1
